"Uri","Count","Sources"
"/`$batch","4","Invoke-GraphRequest"
"/$($definitionValue.'definition@odata.bind')/presentations","1","Invoke-GraphRequest"
"/$($objectType.API)/$($filter.ID)/payloads","1","Invoke-GraphRequest"
"/$($objectType.API)/$($obj.Id)","3","Invoke-GraphRequest"
"/$($objectType.API)/$($obj.id)/localizedNotificationMessages","1","Invoke-GraphRequest"
"/$($objectType.API)/$($obj.id)/settings","1","Invoke-GraphRequest"
"/$($objectType.API)/$($obj.id)/updateSettings","1","Invoke-GraphRequest"
"/$($objectType.API)/$($obj.Object.Id)/$imgType","1","Invoke-GraphRequest"
"/$($objectType.API)/$($objCopyFrom.id)/settings","1","Invoke-GraphRequest"
"/$($objectType.API)/$($objNew.id)/localizedNotificationMessages","1","Invoke-GraphRequest"
"/$($objectType.API)/$($objNew.id)/updateSettings","1","Invoke-GraphRequest"
"/$($reusableSettingsType.API)/$($setting.RawValue)","1","Invoke-GraphRequest"
"/$($script:currentScriptObject.ObjectType.API)/$($script:currentScriptObject.Object.Id)","2","Invoke-GraphRequest"
"/$api/targetApps","1","Invoke-GraphRequest"
"/$fileUri/renewUpload","1","Invoke-GraphRequest"
"/deviceAppManagement/$objectClass/$($curObject.Object.Id)/targetApps","1","Invoke-GraphRequest"
"/deviceAppManagement/$objectClass/$($obj.Id)/targetApps","1","Invoke-GraphRequest"
"/deviceAppManagement/managedAppPolicies","1","ObjectType.API"
"/deviceAppManagement/managedAppStatuses('managedAppList')","1","Invoke-GraphRequest"
"/deviceAppManagement/mobileAppConfigurations","2","ObjectType.API"
"/deviceAppManagement/mobileApps","1","ObjectType.API"
"/deviceAppManagement/mobileApps?`$filter=displayName eq '$appName'","3","Invoke-GraphRequest"
"/deviceAppManagement/mobileApps/$($appId)","1","Invoke-GraphRequest"
"/deviceAppManagement/mobileApps/$($obj.id)","2","Invoke-GraphRequest"
"/deviceAppManagement/mobileApps/$($obj.Id)/relationships?`$filter=targetType%20eq%20microsoft.graph.mobileAppRelationshipType%27child%27","2","Invoke-GraphRequest"
"/deviceAppManagement/mobileApps/$($obj.Id)/updateRelationships","1","Invoke-GraphRequest"
"/deviceAppManagement/mobileApps/$appId","2","Invoke-GraphRequest"
"/deviceAppManagement/mobileApps/$appId/$appType/contentVersions","2","Invoke-GraphRequest"
"/deviceAppManagement/mobileApps/$appId/$appType/contentVersions/$contentVerId/files/$($contentFiles.value[-1].Id)","1","Invoke-GraphRequest"
"/deviceAppManagement/mobileApps/$appId/$appType/contentVersions/$contentVerId/files/$($file.Id)","1","Invoke-GraphRequest"
"/deviceAppManagement/mobileApps/$appId/$appType/contentVersions/$contentVersionId/files","1","Invoke-GraphRequest"
"/deviceAppManagement/mobileApps/$appId/$appType/contentVersions/$contentVersionId/files/$($fileObj.Id)/commit","1","Invoke-GraphRequest"
"/deviceAppManagement/policySets","1","ObjectType.API"
"/deviceAppManagement/targetedManagedAppConfigurations","1","ObjectType.API"
"/deviceAppManagement/vppTokens","1","ObjectType.API"
"/deviceManagement","1","Invoke-GraphRequest"
"/deviceManagement/androidDeviceOwnerEnrollmentProfiles","1","ObjectType.API"
